frame,player_id,ball_state,angle_arm,angle_leg,shot_score
1,1,holding,69.3,144.0,0.0
2,1,holding,75.1,143.9,0.0
3,1,holding,76.2,143.2,0.0
4,1,holding,77.9,143.1,2.1
5,1,holding,80.4,142.8,6.5
6,1,holding,80.1,141.0,2.2
7,1,none,82.5,141.3,7.7
8,1,holding,83.1,142.2,10.7
9,1,holding,80.6,143.4,8.0
10,1,none,75.8,146.5,4.5
11,1,none,73.9,149.9,7.7
12,1,none,76.1,150.7,13.5
13,1,none,77.1,151.5,17.2
14,1,none,81.8,150.2,24.1
15,1,none,82.0,148.0,20.2
16,1,none,82.1,149.2,22.7
17,1,none,83.7,148.3,24.0
18,1,none,89.1,150.0,38.2
19,1,none,96.5,149.6,52.2
20,1,none,103.5,149.3,51.7
21,1,none,108.0,148.2,40.4
22,1,none,114.8,140.7,11.8
23,1,none,114.9,132.4,0.0
24,1,none,118.8,132.3,0.0
25,1,none,121.2,137.5,0.0
26,1,none,119.9,152.7,25.7
27,1,none,120.2,161.2,42.0
28,1,none,124.0,167.1,46.2
29,1,none,121.7,166.6,49.7
30,1,none,121.4,155.8,28.8
31,1,none,124.5,149.3,9.5
32,1,none,125.7,142.0,0.0
33,1,none,129.2,141.8,0.0
34,1,none,119.9,134.5,0.0
35,1,none,114.9,128.7,0.0
36,1,none,113.6,114.6,0.0
37,1,none,97.7,83.7,0.0
38,1,none,70.7,107.7,0.0
39,1,none,87.0,100.9,0.0
40,1,none,98.7,82.7,0.0
41,1,none,105.3,102.7,0.0
42,1,none,38.4,107.0,0.0
43,1,none,56.3,113.5,0.0
44,1,none,72.0,114.7,0.0
45,1,none,56.4,108.9,0.0
46,1,none,45.5,124.4,0.0
47,1,none,42.8,161.0,0.0
48,1,none,59.1,162.5,3.2
49,1,none,78.9,165.6,49.1
50,1,none,98.9,176.6,84.7
51,1,none,143.1,179.0,0.0
52,1,none,176.9,172.3,0.0
53,1,none,164.2,174.2,0.0
54,1,none,163.9,168.4,0.0
55,1,none,167.1,169.1,0.0
56,1,none,169.1,170.0,0.0
57,1,none,169.0,172.9,0.0
58,1,none,168.5,174.7,0.0
59,1,none,172.2,174.7,0.0
60,1,none,172.8,179.1,0.0
61,1,none,166.7,177.5,0.0
62,1,none,166.1,170.5,0.0
63,1,none,171.9,164.6,0.0
64,1,none,173.2,158.0,0.0
65,1,none,174.2,153.0,0.0
66,1,none,176.7,148.5,0.0
67,1,none,178.6,145.1,0.0
68,1,none,176.6,140.5,0.0
69,1,none,173.3,142.4,0.0
70,1,none,174.7,143.6,0.0
71,1,none,173.4,153.2,0.0
72,1,none,171.4,163.3,0.0
73,1,none,169.0,168.6,0.0
74,1,none,168.7,174.6,0.0
75,1,none,170.9,177.9,0.0
76,1,none,170.5,177.9,0.0
77,1,none,172.4,177.2,0.0
78,1,none,167.0,177.5,0.0
79,1,none,166.9,177.9,0.0
80,1,none,164.8,176.3,0.0
81,1,none,156.0,175.9,0.0
82,1,none,151.7,179.3,0.0
83,1,none,150.7,173.9,0.0
83,5,none,142.7,167.6,9.8
84,1,none,174.4,177.9,0.0
84,5,none,65.6,168.6,28.3
85,1,none,179.3,129.5,0.0
85,5,none,157.8,159.3,0.0
86,1,none,165.2,95.5,0.0
86,5,none,63.6,167.5,22.1
87,1,none,90.9,158.1,58.0
88,1,none,0.2,129.6,0.0
89,1,none,116.2,153.4,34.5
90,1,none,125.5,158.0,24.9
91,1,none,130.4,168.1,35.3
92,1,none,167.1,153.0,0.0
93,1,none,143.7,97.2,0.0
94,1,none,167.7,160.0,0.0
95,1,none,174.4,146.8,0.0
96,1,none,163.3,154.6,0.0
97,1,none,169.6,154.8,0.0
98,1,none,175.9,152.1,0.0
99,1,none,168.2,151.7,0.0
100,1,none,126.1,155.6,19.1
101,1,none,157.7,151.2,0.0
102,1,none,157.8,143.1,0.0
103,1,none,173.9,143.3,0.0
104,1,none,155.7,128.0,0.0
105,1,none,118.8,159.2,40.8
106,1,none,104.6,163.6,78.1
107,1,none,150.3,170.4,0.0
108,1,none,172.8,127.1,0.0
109,1,none,169.9,121.2,0.0
110,1,none,167.0,123.9,0.0
111,1,none,154.8,130.8,0.0
